17
9,5,1,2,8,9,4,2,5,1,3,5,8,1,1,9,3
3,6,8,3,4,8,3,7,2,6,5,3,5,8,9,8,4
8,6,1,8,9,6,9,5,2,4,5,7,8,6,4,6,5
2,5,7,8,5,5,5,5,1,5,6,3,9,6,1,2,8
7,5,5,2,9,7,4,4,4,7,6,5,4,7,3,2,2
7,4,3,3,6,8,5,4,7,9,3,3,7,5,2,4,7
5,4,1,4,9,7,9,3,5,3,2,7,8,4,2,2,5
2,6,1,5,9,3,5,8,4,1,8,4,8,3,2,2,3
8,8,5,4,3,8,2,9,1,5,5,4,3,3,1,3,3
4,9,4,8,6,6,4,3,5,1,5,6,2,5,6,8,1
7,5,5,3,7,8,4,7,1,1,3,9,4,7,1,5,5
1,8,1,1,3,7,2,1,2,5,6,2,8,8,8,9,5
5,6,3,4,5,2,2,7,2,5,6,5,9,3,3,4,9
6,6,1,6,1,9,5,7,5,6,5,1,7,1,7,7,8
7,5,9,9,9,8,4,6,1,8,7,3,8,8,2,7,6
4,4,3,9,8,6,1,7,5,7,6,9,2,8,4,4,6
3,6,8,3,5,4,7,4,4,7,8,9,4,4,9,8,3
